id,fits,type,x,y
012023,0059,comet,1079,1038
012023,0060,comet,1078,1019
012023,0061,comet,1065,1053
012023,0062,comet,1037,1046
012023,0063,comet,1054,1061
012023,0064,comet,961,1022
012023,0065,comet,1024,1052
012023,0066,comet,1033,1055
012023,0067,comet,1036,1105
012023,0068,comet,1001,1087
012023,0038,star,890,962
012023,0039,star,888,961
012023,0040,star,881,959
012023,0041,star,878,959
012023,0042,star,877,959
012023,0043,star,1022,1054
012023,0044,star,1014,1057
012023,0045,star,1009,1056
012023,0046,star,1004,1058
012023,0047,star,998,1060
